#IdlerWL (m)	Abs(Ex) Left WG (V/m)	Abs(Ey) Left WG (V/m)	eff ref index (1)
0.0000005000000000000001	13.812412410380665	0.13063716474177106	2.2468210305978027
0.0000005000000000000001	5.6070845030997845	0.055772863274293934	2.2682581734036775
0.0000005000000000000001	34.361762219304126	0.021016968773057414	2.2853982213027217
0.0000005000000000000001	64.32918845404619	0.011076394361950495	2.297800194448214
0.0000005000000000000001	87.21153784285742	0.013231699645896648	2.3052896846173256
0.0000005010000000000000	13.784786040022313	0.13250461902076358	2.245852434260959
0.0000005010000000000000	5.5852678439632815	0.056611021316834216	2.2673786853611335
0.0000005010000000000000	34.271809433232555	0.021531935896458992	2.2845907250545
0.0000005010000000000000	64.17077993398613	0.011446179215077942	2.2970448824189136
0.0000005010000000000000	87.00180078684227	0.013526015980902197	2.3045658690447963
0.0000005020000000000001	13.75729752129205	0.13440228993557687	2.244887826686931
0.0000005020000000000001	5.563556745013353	0.05745718718410004	2.266503340571801
0.0000005020000000000001	34.18229242498782	0.022049914181964614	2.2837875052929313
0.0000005020000000000001	64.0131373915116	0.011817487580970223	2.2962939444892543
0.0000005020000000000001	86.79307729098682	0.01382139339040029	2.3038464864314805
0.0000005030000000000001	13.729945861374867	0.13633067258702466	2.2439271591494214
0.0000005030000000000001	5.541950358408512	0.058311416130825085	2.265632090209079
0.0000005030000000000001	34.093207772207776	0.022570908522446177	2.282988513202714
0.0000005030000000000001	63.85625482240373	0.012190316803515561	2.2955473318652224
0.0000005030000000000001	86.58535940968967	0.014117827376420962	2.303131487997023
0.0000005040000000000001	13.702730079808136	0.13829027292191862	2.2429703836130597
0.0000005040000000000001	5.520447845902128	0.05917376390997515	2.264764886134968
0.0000005040000000000001	34.004552091294066	0.023094923750788005	2.282193700656341
0.0000005040000000000001	63.70012629035536	0.012564664170298778	2.29480499644014
0.0000005040000000000001	86.37863928726516	0.014415313403129472	2.3024208256481433
0.0000005050000000000000	13.675649208321156	0.1402816080379585	2.242017452721361
0.0000005050000000000000	5.499048378705977	0.06004428678145141	2.2639016808880155
0.0000005050000000000000	33.91632203683373	0.023621964641482012	2.281403020202047
0.0000005050000000000000	63.544745925963596	0.012940526916242817	2.2940668907826205
0.0000005050000000000000	86.17290915650213	0.014713846900869222	2.3017144519666006
0.0000005060000000000001	13.648702290682895	0.14230520650230513	2.24106831978493
0.0000005060000000000001	5.477751137339169	0.06092304152245593	2.2630424276715084
0.0000005060000000000001	33.828514301015375	0.024152035910695226	2.2806164250520125
0.0000005060000000000001	63.39010792570695	0.01331790222196739	2.293332968124778
0.0000005060000000000001	85.96816133741531	0.015013423264165146	2.3010123201973993
0.0000005070000000000001	13.621888382546782	0.14436160867940342	2.2401229387699253
0.0000005070000000000001	5.4565553114940775	0.06181008543691297	2.262187080341912
0.0000005070000000000001	33.74112561307203	0.024685142218163363	2.2798338690708104
0.0000005070000000000001	63.23620655096568	0.01369678721668445	2.292603182350683
0.0000005070000000000001	85.76438823588464	0.015314037854800388	2.300314384237255
0.0000005080000000000000	13.595206551303626	0.14645136707237866	2.2391812642867532
0.0000005080000000000000	5.435460099895005	0.06270547636614716	2.261335593397558
0.0000005080000000000000	33.65415273872553	0.025221288168185595	2.279055306764097
0.0000005080000000000000	63.08303612704935	0.014077178979512679	2.291877487985057
0.0000005080000000000000	85.5615823423817	0.01561568600291762	2.2996205986232927
0.0000005090000000000001	13.568655875930931	0.1485750466723205	2.2382432515790147
0.0000005090000000000001	5.4144647101656025	0.06360927269820978	2.260487921967563
0.0000005090000000000001	33.56759247964187	0.02576047830893532	2.2782806932675417
0.0000005090000000000001	62.9305910422453	0.014459074537043893	2.2911558401822143
0.0000005090000000000001	85.35973623072596	0.01591836300437581	2.2989309185219873
0.0000005100000000000001	13.542235446854557	0.15073322531030275	2.237308856512669
0.0000005100000000000001	5.393568358695589	0.06452153337942064	2.2596440218009772
0.0000005100000000000001	33.481441672899365	0.026302717135497745	2.2775099843359854
0.0000005100000000000001	62.77886574689134	0.01484247086843407	2.2904381947152173
0.0000005100000000000001	85.15884255684526	0.01622206412547538	2.2982452997183285
0.0000005110000000000001	13.515944365823106	0.152926494014016	2.236378035565433
0.0000005110000000000001	5.372770270512195	0.06544231792401996	2.258803849256168
0.0000005110000000000001	33.395697190469036	0.026848009089088267	2.2767431363328217
0.0000005110000000000001	62.62785475245234	0.015227364903030146	2.289724507965272
0.0000005110000000000001	84.95889405754279	0.016526784600904676	2.297563698605221
0.0000005120000000000001	13.489781745800082	0.15515545739828668	2.2354507458163955
0.0000005120000000000001	5.352069679149569	0.06637168642575637	2.2579673612904045
0.0000005120000000000001	33.31035593869475	0.027396358559322685	2.275980106219598
0.0000005120000000000001	62.4775526306254	0.015613753524103914	2.2890147369113323
0.0000005120000000000001	84.75988354934704	0.016832519637434828	2.296886072173086
0.0000005130000000000001	13.463746710940253	0.15742073405967824	2.234526944935851
0.0000005130000000000001	5.3314658265282775	0.0673096995683808	2.2571345154496765
0.0000005130000000000001	33.22541485779851	0.02794776988377663	2.275220851545834
0.0000005130000000000001	62.32795401245938	0.016001633566453937	2.2883088391199236
0.0000005130000000000001	84.56180392730626	0.017139264410978107	2.296212377999695
0.0000005140000000000001	13.437838395833397	0.1597229568985411	2.2336065911753367
0.0000005140000000000001	5.310957962827791	0.06825641863703864	2.2563052698587023
0.0000005140000000000001	33.140870921376354	0.02850224734943155	2.2744653304390408
0.0000005140000000000001	62.17905358749006	0.01639100181948576	2.2876067727351685
